Record_ID,First_Name,Last_Name,Date_of_Birth,NIN,Phone_Number,Label
SIM_93927,Hope,Ibrahim,1948-05-17,38806140252,+2348162824329,Anomaly_Identity_Mismatch
SIM_10053,Joshua,Ibrahim,2007-06-25,49885205404,+2348021961909,Normal
SIM_57645,Mary,Oyekan,1962-05-31,88201236531,+2348044131605,Anomaly_NIN
SIM_56053,Stephen,Okonkwo,1950-03-17,33937600335,+2348111215809,Anomaly_NIN
SIM_10403,Paul,Okafor,1981-07-10,72768206576,+2349047727935,Normal
SIM_10467,Andrew,Oyekan,1946-10-30,44263539534,+2349003551080,Normal
SIM_48931,Agnes,Eze,1987-04-02,57893699514,+2349014806469,Anomaly_Identity_Mismatch
SIM_44922,Jop,Nnamawi,1974-09-07,30817880371,+2349132360613,Anomaly_Fuzzy
SIM_10228,Peace,Okonkwo,2007-02-03,54444115710,+2348192430378,Normal
SIM_78840,Pete,Oshod,1960-07-06,84990374488,+2349118153582,Anomaly_Fuzzy
SIM_10461,Esther,Okafor,2003-08-04,81175745391,+2349003491330,Normal
SIM_72684,Mary,Balogun,1986-10-09,65276652663,+2349046827225,Anomaly_Identity_Mismatch
SIM_10312,Ruth,Ojo,1966-02-27,28318769608,+2349080295758,Normal
SIM_10272,Mark,Ogunleye,1964-05-28,34041865342,+2348011693392,Normal
SIM_40865,Stephen,Chukwu,1971-03-31,12760603286,+2348124201423,Anomaly_Exact
SIM_73021,Nathaniel,Olawale,1959-09-26,51787485109,+2349046540935,Anomaly_NIN
SIM_10591,Agnes,Oyekan,1956-03-06,73424220760,+2348188390442,Normal
SIM_10178,Elizabeth,Obi,1987-04-06,73564139819,+2348051426667,Normal
SIM_10539,Simon,Obasanjo,1978-06-29,36474882211,+2348001170517,Normal
SIM_51272,Michael,Olawale,1974-10-07,33722806097,+2347048922620,Anomaly_NIN
SIM_10167,Angela,Ibrahim,1953-03-31,62127761060,+2348145912597,Normal
SIM_10407,Elizabeth,Oyekan,1991-11-12,64188016389,+2348040876605,Normal
SIM_10068,Angela,Ojo,1959-10-16,16894103713,+2349094890910,Normal
SIM_10238,Peace,Adeyemi,1969-03-11,37889393131,+2349049023356,Normal
SIM_10463,Patience,Akinwale,2006-09-26,57032616644,+2348108105140,Normal
SIM_73626,Peace,Olawale,1953-04-07,54596878581,+2349164179081,Anomaly_Identity_Mismatch
SIM_81846,Andrew,Oyekan,1974-08-26,21287788513,+2348009098782,Anomaly_Identity_Mismatch
SIM_52767,Joshua,Olawale,1985-11-13,06969741544,+2348024040139,Anomaly_NIN
SIM_97152,Paul,Obi,2007-10-23,80319342783,+2349137948478,Anomaly_Identity_Mismatch
SIM_10592,Patience,Nnamani,2007-11-04,18994520074,+2348169969423,Normal
SIM_48257,Agnes,Balogun,23-11-1999,92693024564,+2349098281701,Anomaly_Format
SIM_10593,Simon,Adetokunbo,1973-03-12,87307388780,+2348169975976,Normal
SIM_10211,Peace,Olawale,1954-10-17,35886366058,+2348103682114,Normal
SIM_10431,Patience,Eze,1951-07-06,34196974324,+2348155818718,Normal
SIM_40390,Pau,Oyeka,1945-07-27,24699263593,+2349178776790,Anomaly_Fuzzy
SIM_10358,Emmanuel,Oyekan,1999-10-09,15930340367,+2349180081781,Normal
SIM_10170,Deborah,Okonkwo,1980-10-03,40961251176,+2348062809371,Normal
SIM_83769,Victoria,Ekwueme,2006-04-04,91274627571,+2348102716525,Anomaly_Exact
SIM_99466,Blessing,Ibrahim,31-05-1983,94586610395,+2349124689531,Anomaly_Format
SIM_10379,Mary,Abiola,1992-11-03,34691564033,+2347046696877,Normal
SIM_51610,Peace,Uche,1958-05-18,44741950521,+2348080110362,Anomaly_Identity_Mismatch
SIM_61383,Angela,Ekwueme,20-05-1981,95718103993,+2348198963033,Anomaly_Format
SIM_10141,Daniel,Olawale,2005-06-21,79939728143,+2349156772090,Normal
SIM_10453,Joseph,Okafor,2005-10-02,57239977571,+2347042630318,Normal
SIM_65592,Patience,Okafor,1975-08-09,22660655695,+2349035102148,Anomaly_NIN
SIM_50816,Michael,Adeyemi,1955-12-18,44569801375,+2347050319088,Anomaly_Exact
SIM_10635,Samuel,Adetokunbo,1979-07-16,91875316373,+2349094346332,Normal
SIM_83068,Mary,Uche,1966-03-26,38376281793,+2349057846575,Anomaly_Exact
SIM_10232,Blessing,Obi,1948-10-18,25907587255,+2348183493053,Normal
SIM_10132,Simon,Oyekan,1959-09-17,52356509985,+2348161812581,Normal
SIM_10039,Ruth,Ojo,2006-06-22,99958080016,+2347015782276,Normal
SIM_10458,Joseph,Oshodi,1987-04-10,96861958570,+2349088204175,Normal
SIM_73205,David,Akinwale,1959-06-22,87040587968,+2349078121920,Anomaly_Exact
SIM_10527,Emmanuel,Olawale,1996-02-24,31007449064,+2349014399897,Normal
SIM_10658,Patience,Olawale,1981-03-05,20374445130,+2349053866966,Normal
SIM_67281,Stzphen,Eke,1980-01-19,98134266101,+2348011145152,Anomaly_Fuzzy
SIM_10057,Gabriel,Akinwale,1998-05-12,79462907140,+2348022135195,Normal
SIM_10529,Sarah,Ekwueme,1968-07-29,48662407709,+2349162172643,Normal
SIM_10482,David,Oshodi,1975-11-18,14446166055,+2349196829929,Normal
SIM_64059,Esther,Olawale,1980-12-31,94710785297,+2348122693869,Anomaly_Identity_Mismatch
SIM_10239,Stephen,Olawale,1998-07-16,70944596573,+2348181724132,Normal
SIM_37789,Samuel,Chukwu,1951-09-25,65710864126,+2349113000716,Anomaly_Identity_Mismatch
SIM_10626,Mark,Adeyemi,1989-01-03,60660496487,+2349097168649,Normal
SIM_10499,Comfort,Abiola,1974-08-23,34096260698,+2348027534388,Normal
SIM_82518,Victoria,Adeyemi,1956-07-31,05637206058,+2349000421374,Anomaly_NIN
SIM_10081,James,Obasanjo,1984-08-02,20094198304,+2349049691262,Normal
SIM_10518,Nathaniel,Obasanjo,1960-10-07,94075256491,+2347030476834,Normal
SIM_49071,Dnaiel,cUhe,1979-11-20,77207479349,+2347099866507,Anomaly_Fuzzy
SIM_10434,James,Akinwale,2005-01-07,88696448324,+2348043941043,Normal
SIM_61150,Mary,Okafor,1963-06-14,20003801943,+2348147904950,Anomaly_Exact
SIM_98849,Benjamin,Chukwu,1968-04-01,60652920546,+2348096409817,Anomaly_Identity_Mismatch
SIM_10584,Juliet,Abiola,1967-04-04,17091730743,+2347064837948,Normal
SIM_10643,John,Olawale,1946-09-02,59182871223,+2347014078970,Normal
SIM_10674,Cornelius,Ibrahim,1972-06-22,30247436007,+2349087072648,Normal
SIM_10410,Blessing,Balogun,1976-08-25,43929170623,+2349058813819,Normal
SIM_10582,Ruth,Akinwale,1999-04-05,65188272914,+2349179669573,Normal
SIM_95964,Daneil,kOonkwo,1995-11-03,13064999718,+2347093225430,Anomaly_Fuzzy
SIM_10698,James,Olawale,1961-06-08,92309896449,+2349175099364,Normal
SIM_10608,Hope,Abiola,1960-10-16,34252116864,+2349007466505,Normal
SIM_96205,John,Ogunleye,07-11-1997,55593328086,+2347078971147,Anomaly_Format
SIM_93719,Hope,Okonkwo,1972-06-22,30247436007,+2349087072648,Anomaly_Identity_Mismatch
SIM_10269,Elizabeth,Ogunleye,1947-05-01,19021964721,+2347084171423,Normal
SIM_10604,James,Ibrahim,1951-09-26,20770460031,+2348015927934,Normal
SIM_10427,Philip,Oyekan,1962-06-07,55410656411,+2349052276626,Normal
SIM_10102,Hope,Eze,1958-04-19,11366162196,+2349043069991,Normal
SIM_96758,David,Obi,20-12-1997,16946051585,+2348151967039,Anomaly_Format
SIM_97004,Cornelius,Oyekan,1976-11-11,86211951552,+2347068077070,Anomaly_Identity_Mismatch
SIM_10515,Paul,Oshodi,1960-08-20,87017501206,+2348135891563,Normal
SIM_53614,Philip,Akinwale,1958-10-20,99939874664,+2348032599031,Anomaly_Identity_Mismatch
SIM_10080,Hope,Abiola,1982-01-26,97163037373,+2349123160239,Normal
SIM_10372,Gloria,Balogun,2001-03-19,90408396324,+2347014391315,Normal
SIM_10022,Stephen,Chukwu,1971-03-31,12760603286,+2348124201423,Normal
SIM_10360,Comfort,Okonkwo,1982-12-16,30704188817,+2349173688197,Normal
SIM_10224,Nathaniel,Ojo,1978-06-04,95875480953,+2349143923018,Normal
SIM_10253,Cornelius,Oyekan,2000-03-11,86172463970,+2348195511654,Normal
SIM_10470,David,Akinwale,1959-06-22,87040587968,+2349078121920,Normal
SIM_10249,Cornelius,Obasanjo,1991-06-21,99487873389,+2347018617542,Normal
SIM_10279,Emmanuel,Olawale,1965-05-26,26192115924,+2348066414023,Normal
SIM_10638,Emmanuel,Ogunleye,1952-02-13,93597095165,+2349093970202,Normal
SIM_75685,Esther,Nnamani,1977-07-31,73193008687,+2348185738447,Anomaly_Identity_Mismatch
SIM_10134,Mark,Ibrahim,1978-08-15,35599598468,+2347049292033,Normal
SIM_10101,Deborah,Akinwale,1990-06-01,99820460576,+2349013438110,Normal
SIM_29516,Joy,Eze,1997-12-20,16946051585,+2348151967039,Anomaly_Identity_Mismatch
SIM_94959,Rut,Adeotkunbo,1970-01-04,81706639306,+2347098006567,Anomaly_Fuzzy
SIM_85223,Jamse,Osoodi,1952-05-10,10922698282,+2348047127833,Anomaly_Fuzzy
SIM_88547,Paul,Okafor,1952-05-16,71177872083,+2348127739465,Anomaly_NIN
SIM_10637,Michael,Nnamani,1960-08-27,21043546444,+2348178350663,Normal
SIM_74086,Daniel,Okonkwo,1995-11-03,13064999718,+2347093225430,Anomaly_Exact
SIM_20999,David,Adetokunbo,07-05-1971,52430751725,+2349159247636,Anomaly_Format
SIM_10276,Sarah,Oshodi,1983-02-26,63604856321,+2348188433582,Normal
SIM_10444,Patience,Balogun,1985-02-26,73602157876,+2348111737411,Normal
SIM_36601,Joseph,Ekwueme,1979-08-30,94655182000,+2349150714199,Anomaly_NIN
SIM_69394,Comfort,Okonkwo,1986-10-26,81530434565,+2347060090338,Anomaly_Exact
SIM_10435,Patience,Ibrahim,1979-07-11,57722979165,+2349036811233,Normal
SIM_10553,Juliet,Adetokunbo,1993-08-28,25455451025,+2349033372211,Normal
SIM_10337,Juliet,Obasanjo,1946-10-15,88936656315,+2348004478065,Normal
SIM_10088,Victoria,Ogunleye,1999-11-09,13105309521,+2348037079726,Normal
SIM_10389,Paul,Ojo,2004-08-23,69906505513,+2347040840534,Normal
SIM_10522,Nathaniel,Okonkwo,1957-08-27,38743671580,+2349158916123,Normal
SIM_10690,Deborah,Obi,1992-04-25,51771915064,+2348181932047,Normal
SIM_28692,Charity,Olawale,1951-08-02,89595122698,+2348169328219,Anomaly_Exact
SIM_10333,Esther,Olawale,1986-01-27,81998149496,+2349020954952,Normal
SIM_10103,Simon,Abiola,1949-05-10,38176788685,+2349057737859,Normal
SIM_10391,Mark,Ogunleye,1987-10-16,42367965240,+2347030720076,Normal
SIM_10612,Grace,Oyekan,1954-04-18,43483370959,+2349172131927,Normal
SIM_62879,Hope,Ekwueme,1999-05-03,31637844022,+2348085351770,Anomaly_Exact
SIM_10484,Joseph,Ekwueme,1979-08-30,94755182000,+2349150714199,Normal
SIM_92744,Esther,Oshodi,22-08-1953,22376755963,+2349188996448,Anomaly_Format
SIM_39394,Daniel,Ekwueme,1954-06-14,79870699827,+2349113138848,Anomaly_Exact
SIM_55643,David,Obasanjo,1956-09-12,25267167189,+2349127856339,Anomaly_Identity_Mismatch
SIM_10394,Mary,Oshodi,2004-09-28,99074766470,+2347036341777,Normal
SIM_70840,Victori,Adxyemi,1956-07-31,25637206058,+2349000421374,Anomaly_Fuzzy
SIM_10489,Joseph,Oshodi,1993-11-08,38257144425,+2349082641784,Normal
SIM_10641,Charity,Eze,1997-01-06,59555041282,+2348046396056,Normal
SIM_10566,Paul,Okafor,1952-05-16,71173872083,+2348127739465,Normal
SIM_10004,Deborah,Adeyemi,1947-05-28,12207256077,+2348198457284,Normal
SIM_68056,Paul,Okafor,19-12-1953,39474343924,+2348063251552,Anomaly_Format
SIM_10334,Peter,Ojo,1995-05-12,58869237737,+2347097977450,Normal
SIM_24127,Sarah,Ojo,23-11-1967,24912132471,+2347038268604,Anomaly_Format
SIM_44265,Joshua,Abiola,1968-08-18,47615485717,+2348040799133,Anomaly_NIN
SIM_10352,Sarah,Adeyemi,1958-02-21,54434254587,+2349106216214,Normal
SIM_10186,Michael,Uche,1980-06-14,92950374735,+2349027115379,Normal
SIM_51398,Benjami,cUhe,2000-05-27,14265985720,+2348048620506,Anomaly_Fuzzy
SIM_10036,Blessing,Eze,1963-05-27,11274912587,+2348024626980,Normal
SIM_10280,Stephen,Adetokunbo,1992-06-14,91566556335,+2347008303423,Normal
SIM_10105,Mary,Adeyemi,1948-10-15,49843251878,+2348145042046,Normal
SIM_10496,Agnes,Uche,1976-04-02,53436656592,+2349180387492,Normal
SIM_10113,Faith,Olawale,1973-11-26,20020075654,+2349001660988,Normal
SIM_10149,Paul,Okafor,2004-03-18,27730581746,+2349139740389,Normal
SIM_10284,Deborah,Akinwale,1967-11-20,74337750016,+2349172949292,Normal
SIM_10533,Gabriel,Oyekan,1948-10-05,96695413403,+2349151369098,Normal
SIM_10524,Grace,Nnamani,1945-10-16,65933118466,+2347069871991,Normal
SIM_10655,John,Oyekan,1969-05-21,27387879212,+2348049548625,Normal
SIM_10439,David,Eze,1996-09-11,37136853997,+2348144347493,Normal
SIM_10255,Peter,Nnamani,1981-08-18,14629486200,+2348059751393,Normal
SIM_30749,David,Okonkwo,1976-07-24,90306746773,+2348120550955,Anomaly_NIN
SIM_10325,Daniel,Akinwale,1960-09-03,90844493602,+2349185719615,Normal
SIM_40175,Deborah,Nnamani,25-01-1950,20579842298,+2349180072646,Anomaly_Format
SIM_69220,Joy,Adeyemi,17-04-2004,59000213386,+2349096560705,Anomaly_Format
SIM_10602,Michael,Uche,1983-05-31,21144592321,+2348183043167,Normal
SIM_63703,Joshua,Nnamani,1975-07-13,13608464335,+2348102260926,Anomaly_Identity_Mismatch
SIM_68333,Daniel,Abiola,1966-11-06,64649733676,+2347094820926,Anomaly_NIN
SIM_10454,Peace,Eze,1971-10-28,22626828874,+2349163467538,Normal
SIM_10549,Joy,Olawale,1972-05-25,71166970379,+2349139242964,Normal
SIM_10402,Joy,Nnamani,1974-09-07,30817880371,+2349132360613,Normal
SIM_34860,Juliet,Abiola,1967-04-04,12091730743,+2347064837948,Anomaly_NIN
SIM_10071,Patience,Ekwueme,2006-08-06,49559473277,+2349026310465,Normal
SIM_10165,Joseph,Oyekan,1974-12-13,86869393446,+2349063458111,Normal
SIM_10666,Grace,Eze,1948-05-23,20312150333,+2349152510495,Normal
SIM_10014,Elizabeth,Chukwu,1969-10-21,36714630159,+2348093204931,Normal
SIM_10460,Patience,Abiola,1975-07-20,14547497209,+2349139420545,Normal
SIM_10634,Joy,Okonkwo,1973-08-11,48535674655,+2347091022860,Normal
SIM_10016,Peter,Ekwueme,1981-11-13,79976736384,+2348136693421,Normal
SIM_10012,Paul,Abiola,1997-05-01,74415724269,+2348113206268,Normal
SIM_10006,Gloria,Oyekan,1947-03-08,97115591177,+2348060608185,Normal
SIM_82092,Mark,Abiola,13-03-2002,97292149592,+2348028547891,Anomaly_Format
SIM_10544,James,Balogun,1965-01-27,69072884267,+2348032631201,Normal
SIM_78961,Faith,Oyekan,1976-05-14,25262183758,+2347012108921,Anomaly_Identity_Mismatch
SIM_10610,Simon,Chukwu,1979-12-04,73951877531,+2348059725512,Normal
SIM_10156,Philip,Ekwueme,1969-03-03,27588251636,+2348060692261,Normal
SIM_10579,Patience,Uche,1950-08-07,21960917201,+2348016565248,Normal
SIM_10627,Charity,Nnamani,1983-02-11,42221821121,+2347068334781,Normal
SIM_10171,Peace,Abiola,1970-02-28,64145255693,+2348194579495,Normal
SIM_10466,Blessing,Olawale,1990-06-24,49579575065,+2348192373808,Normal
SIM_10019,Faith,Nnamani,1984-08-31,26171396568,+2349119596696,Normal
SIM_46144,Patience,Adetokunbo,1947-12-24,55304032690,+2348065113582,Anomaly_Identity_Mismatch
SIM_10277,Benjamin,Oshodi,1989-05-01,30863998929,+2348135134940,Normal
SIM_56612,Philip,Eze,1947-01-15,20927680402,+2348062187832,Anomaly_NIN
SIM_10456,Peace,Ojo,1985-05-06,64043417611,+2349130896219,Normal
SIM_10344,Mary,Chukwu,2003-09-30,77341374837,+2349174314907,Normal
SIM_10032,Peter,Ogunleye,1972-09-04,35334022748,+2348008734437,Normal
SIM_51881,Hope,Abiola,1960-10-16,34252116864,+2349007466505,Anomaly_Exact
SIM_10200,Blessing,Ibrahim,1983-05-31,94586610395,+2349124689531,Normal
SIM_10617,Patience,Okafor,1975-08-09,22666655695,+2349035102148,Normal
SIM_97444,David,Oshodi,1975-06-21,56307747084,+2348059963660,Anomaly_NIN
SIM_10000,Daniel,Okonkwo,1995-11-03,13064999718,+2347093225430,Normal
SIM_10555,Victoria,Okonkwo,1967-06-24,81203034246,+2349163876025,Normal
SIM_10443,Peace,Chukwu,1976-04-28,84235988126,+2349029500354,Normal
SIM_10574,David,Oshodi,1975-06-21,56307747684,+2348059963660,Normal
SIM_63412,Hope,Abiola,1969-07-10,25803600856,+2349067507644,Anomaly_Exact
SIM_10457,Paul,Ojo,1989-12-11,77178202693,+2348092318483,Normal
SIM_28292,Grace,Oyekan,18-04-1954,43483370959,+2349172131927,Anomaly_Format
SIM_97110,John,Ogunleye,1997-11-07,75593328086,+2347078971147,Anomaly_NIN
SIM_10159,Grace,Balogun,2004-03-12,86187943560,+2347095900738,Normal
SIM_10455,Blessing,Nnamani,1991-01-02,94948889306,+2349117210687,Normal
SIM_10076,Stephen,Okonkwo,1950-03-17,33937606335,+2348111215809,Normal
SIM_10204,Comfort,Ekwueme,2006-06-07,38074201095,+2349033184941,Normal
SIM_10371,Sarah,Ogunleye,1998-12-24,92734523128,+2349053350768,Normal
SIM_34213,Joseph,Akinwale,17-07-1991,58619734353,+2348037420365,Anomaly_Format
SIM_51359,Jamns,hCukwu,1991-06-05,99541398225,+2348012474695,Anomaly_Fuzzy
SIM_10061,Cornelius,Okafor,1949-04-26,16500724489,+2347053919748,Normal
SIM_10172,Deborah,Olawale,1990-07-30,90650393719,+2347058175168,Normal
SIM_10696,Gabriel,Okonkwo,1955-02-03,18189440114,+2347002504746,Normal
SIM_58314,Runh,Ibrahi,1985-12-27,53009331980,+2349121510258,Anomaly_Fuzzy
SIM_10572,Juliet,Oyekan,1967-05-16,84918231938,+2348188017210,Normal
SIM_85095,Argela,Balojun,1983-03-14,49758212621,+2347052787590,Anomaly_Fuzzy
SIM_35187,Joshu,Abioal,1968-08-18,47615485715,+2348040799133,Anomaly_Fuzzy
SIM_10575,Cornelius,Balogun,1985-08-15,56107253466,+2348017009072,Normal
SIM_10657,Joshua,Olawale,1980-12-31,94710785297,+2348122693869,Normal
SIM_10007,Comfort,Abiola,1994-02-06,70677017673,+2347067249590,Normal
SIM_10331,Cornelius,Adetokunbo,1963-11-26,34153063138,+2349007590538,Normal
SIM_10497,Gloria,Oyekan,1974-08-26,21287788513,+2348009098782,Normal
SIM_10323,Stephen,Balogun,1998-12-27,49977644597,+2349128453648,Normal
SIM_10507,Joseph,Nnamani,2000-08-13,66440342614,+2348098445911,Normal
SIM_10193,Elizabeth,Oshodi,1972-07-28,69640047310,+2348010156099,Normal
SIM_10195,John,Chukwu,1998-05-07,82688997024,+2349151812327,Normal
SIM_10303,David,Adetokunbo,1978-11-03,33031432604,+2348091899345,Normal
SIM_10521,Comfort,Okonkwo,1986-10-26,81530434565,+2347060090338,Normal
SIM_10136,Deborah,Balogun,1948-05-17,38806140252,+2348162824329,Normal
SIM_10606,Emmanuel,Nnamani,1966-05-24,56863067117,+2349017820606,Normal
SIM_77098,Deborah,Oyekan,2001-05-03,31957093470,+2348187505010,Anomaly_Exact
SIM_10278,Hope,Ekwueme,1999-05-03,31637844022,+2348085351770,Normal
SIM_10183,Mary,Ekwueme,1975-06-10,81161493200,+2349060900785,Normal
SIM_10207,Nathaniel,Ibrahim,1978-05-09,27044148338,+2347084333074,Normal
SIM_10366,Charity,Oshodi,1961-12-17,22144229485,+2348033225482,Normal
SIM_10440,Stephen,Adetokunbo,2002-12-06,54031438865,+2348097072723,Normal
SIM_10332,Gloria,Akinwale,1978-12-24,59775751668,+2348174734095,Normal
SIM_89565,Debora,Okafo,1957-05-06,62373782005,+2348024935274,Anomaly_Fuzzy
SIM_10222,Peace,Oyekan,2006-06-22,25319295201,+2349120126731,Normal
SIM_10364,Simon,Ibrahim,1993-05-19,64932595710,+2347010360106,Normal
SIM_28768,Hvpe,Uceh,1990-06-19,88417483116,+2348030129473,Anomaly_Fuzzy
SIM_10623,Simon,Adetokunbo,1979-08-07,37533115246,+2348024068849,Normal
SIM_91068,Gloria,Adetokunbo,1976-11-11,86211951552,+2347068077070,Anomaly_Exact
SIM_10176,Victoria,Uche,1983-02-07,33927449957,+2347033338149,Normal
SIM_10001,Nathaniel,Okafor,1960-07-25,67172389257,+2348184115409,Normal
SIM_10145,Peter,Uche,1970-03-11,58087613214,+2348003005811,Normal
SIM_10451,James,Adeyemi,1947-11-28,24877345150,+2349069774248,Normal
SIM_10511,Joy,Ojo,2004-06-13,28266073305,+2349123798228,Normal
SIM_10070,Cornelius,Adetokunbo,1991-01-31,48437201389,+2349196367678,Normal
SIM_10324,Ruth,Abiola,1974-04-22,72567064927,+2349039273834,Normal
SIM_10124,Benjamin,Nnamani,1964-10-08,23974641038,+2348195977173,Normal
SIM_10185,Charity,Obi,1990-03-18,41082390137,+2347085169195,Normal
SIM_10308,Sarah,Oyekan,1985-12-10,37131251763,+2349158433118,Normal
SIM_10166,Joy,Ogunleye,1975-01-27,62720392810,+2349071339474,Normal
SIM_10112,Ruth,Oyekan,1948-01-30,35715438632,+2348037375362,Normal
SIM_10419,Elizabeth,Obasanjo,1969-10-20,23228785629,+2348012233291,Normal
